pdu_hex,sequence_count,stored_flag,packet_seconds,met_seconds,battery1_temp_raw,solar_panel1_temp_raw,battery_soc_raw,t_seconds,direwolf,gr_satellites,reference_union
86829cac82a6609882a6a04040e103f00820e98900f132111f49032502000200000000000000000100010000000ca989a988019300000007018c0104020305010000760000000000000000000003bbcf00000000000000000400a965020100130000083f083707cb06ea076100063ff80001066800432ed800380cd80001073000010710004c3ff8000a2f0800ca00e7ff46005d000001e801d801e80101200000000000000000820f0b0b3c0021498000000d5003c001980d0812b807001b4803c802102e9000c809c800000000000000081d16368aa70e9e5ce7fc04a3897b2901b62cffffa357ffff82d0ffffd22cfc1cc836fdbbebad0000d8f0000001070012089495f18b48,10633,0,839982921,829833,2111,1770,93,70,false,false,false
86829cac82a6609882a6a04040e103f00820e98e00f132111f4e032502000200000000000000000100010000000ca98ea98d019300000007018c0104020305010000760000000000000000000003bbd000000000000000000400a96a020100130000083f083707ca06ea076000063ff0000107d000562ec800380cd8000107a8000105f0005c3fe8000a2f0800c900e6ff3b005d000001e801d801e80101200000000000000000820f0b0b3c0021498000000d4003b001980d0812b807001b4803c802102e9000c809c800000000000000081d16368d1b169e56ad110499db8128f0b07200003850ffff7610000024c6fc19c845fdcaebad0000d8f0000001070012088ce41b60a9,10638,0,839982926,829838,2111,1770,93,75,false,false,false
86829cac82a6609882a6a04040e103f00820e99300f132111f53032502000200000000000000000100010000000ca993a992019300000007018c0104020305010000760000000000000000000003bbd900000000000000000400a96f020100130000083f083707ca06e9076000063ff80001080800432ed800360cd80001077800010828004a3ff8000a2f0800c800e6ff51005d000001e801d801e80101200000000000000000820f0b0b3c0021498000000d4003b001980d0812b807001b4803c802102e9000c809c800000000000000081d16368d5c899e4fcc170491454a28e0e2ffffffeb0cffff0789ffffdd72fc23c855fdd0ebad0000d8f0000001070012088c7a2e89a5,10643,0,839982931,829843,2111,1769,93,80,true,false,true
86829cac82a6609882a6a04040e103f00820e99800f132111f58032502000200000000000000000100010000000ca998a997019300000007018c0104020305010000760000000000000000000003bbda00000000000000000400a974020100130000083f083707cb06e9075f00063ff8000105f800462ed800380cd800010810000108d8004b3ff8000a2f0800c800e5ff52005d000007d806c807b80101200000000000000000820f0b0b3c0021498000000d3003a001980d0812b807001b4803c802102e9000c809c800000000000000081d16369013919e4ad86e0486bf9128d296db00002bbaffff3b1800000846fc13c853fdceebad0000d8f0000001070012087f7f2fc745,10648,0,839982936,829848,2111,1769,93,85,false,false,false
86829cac82a6609882a6a04040e103f00820e9a200f132111f62032502000200000000000000000100010000000ca9a2a9a1019300000007018c0104020305010000760000000000000000000003bbe300000000000000000900a97e020000130000083f083707cb06e8075e00134000000d46f000422ed800380cd8000d46e0000d46e800444008000a2f0800c700e4ff7c005d000007d806c807b80101200000000000000000820f0b0b3c0021498000000d20039001980d0812b807001b4803c802102e9000c809c800000000000000081d16368c6a0e9e3d7ac00479156728b8f56bffffcc7cffff5c5000000d10fc09c812fde2ebad0000d8f0000001070012087b13c9a47c,10658,0,839982946,829858,2111,1768,93,95,false,false,false
86829cac82a6609882a6a04040e103f00820e9b100f132111f71032502000200000000000000000100010000000ca9b1a9b0019300000007018c0104020305010000760700000000000000000003bc0100000000000000000900a98d0200001300000844083c07d006e2075c01364110006a4b9800432ed800380cd800476338006b4ba800494110000a2f0800d200e60284005d000007d806c807b80101200000000000000000820f0b0b3c0021498000000d00036001980d0812b807001b4803c802102e9000c809c800000000000000081d16368f3c259e2f6d180468c35b289526e600002d5dffff7c9b0000362cfc15c811fdf30437ff1f2700fdfa01070012086f96e67f5b,10673,0,839982961,829873,2116,1762,93,110,false,false,false
86829cac82a6609882a6a04040e103f00820e9b600f132111f76032502000200000000000000000100010000000ca9b6a9b5019300000007018c0104020305010000760700000000000000000003bc0200000000000000000900a9920200001300000846083e07d106e9075b018440d8007c4b8800452ed800360cd800794b98007c4b9800f040d000eb2ea000dc00e9035e005d000007d806c807b80101200000000000000000800f0b0b3c0021498000000d00035001980d0812b807001b4803c802102e9000c809c800000000000000081d163690ba329e2bef01046293ec288b647d0000090effff91e8ffffd388fc0ac7f9fdee043aff1d2700fdf901070012086bc7853ee2,10678,0,839982966,829878,2118,1769,93,115,false,false,false
86829cac82a6609882a6a04040e103f00820e9bb00f132111f7b032502000200000000000000000100010000000ca9bba9ba019300000007018c0104020305010000760700000000000000000003bc0b00000000000000000900a9970200001300000844083c07d006f5076d012d4120007d4bd800432ed800380cd800326440005568f8004a4120000a2f0800e100ec026c005d000007d806c807b80101200000000000000000800f0b0b3c0021498000000cf0035001980d0812b807001b4803c802102e9000c809c800000000000000081d163690d6a39e27d9c9045fa7bb2881b3b0ffff8f21ffff63b000005252fc13c80cfe060456ff1026fffdef01070011085ec18f8657,10683,0,839982971,829883,2116,1781,93,120,false,false,false
86829cac82a6609882a6a04040e103f00820e9c000f132111f80032502000200000000000000000100010000000ca9c0a9bf019300000007018c0104020305010000760700000000000000000003bc0c00000000000000000900a99c0200001300000844083c07d006f8077101244128007d4be000372ef000360cd800316408005568b800564120000a2f0800e600ef0255005e000007d806c807b80101200000000000000000800f0b0b3c0021498000000cf0034001980d0812b807001b4803c802102e9000c809c800000000000000081d1636930f1c9e2609c10457d7aa287b2b9cfffff2d7ffffb012ffffb890fc16c800fe070444ff172700fdf601070011085e1c23b77d,10688,0,839982976,829888,2116,1784,94,125,false,false,false
86829cac82a6609882a6a04040e103f00820e9c500f132111f85032502000200000000000000000100010000000ca9c5a9c4019300000007018c0104020305010000760800000000000000000003bc1700000000000000000900a9a10200001300000844083c07cf06fd0776012e4120007d4bd800582ec800380cd8003263c800576880005a4120000a2f0800e900f10258005d000007d806c807b80101200000000000000000800f0b0b3c0021498000000ce0034001980d0812b807001b4803c802102e9000c809c800000000000000081d163692d3eb9e2253770454bade2872d6b400003a36ffffd3ae00007a48fc19c817fe030455ff1026fffdef010700110856a657e446,10693,0,839982981,829893,2116,1789,93,130,false,false,false
